name,code
476,thorbsh01w
477,thorner01w
478,threaro01w
479,tilliic01w
480,timmsmi01w
481,tolivkr01w
482,torniel01w
483,torrele01w
484,traviti01w
485,tremich01w
486,turneba01w
487,tuvicsl01w
488,udokamf01w
489,ujhelpe01w
490,umoh-it01w
491,valdeam01w
492,vangomi01w
493,vaughki01w
494,vaughkr01w
495,vealkr01w
496,vilipda01w
497,vodicka01w
498,vodopna01w
499,walkeas01w
500,walkeay01w
501,walkede01w
502,walkema01w
503,walsema01w
504,washico01w
505,washito01w
506,wautean01w
507,weathte01w
508,webbum01w
509,weberma01w
510,weckeke01w
511,whaleli01w
512,whitede01w
513,whiteer01w
514,whiteta01w
515,whitiva01w
516,whitmta01w
517,whittje01w
518,whittkh01w
519,wickssu01w
520,widemja01w
521,wiggica01w
522,wilkibr01w
523,williad01w
524,willian01w
525,willibe01w
526,willile01w
527,willile02w
528,willili01w
529,willina01w
530,williri01w
531,willish01w
532,willita01w
533,willito01w
534,williwe01w
535,wilsoam01w
536,wirthch01w
537,wisdoli01w
538,witheso01w
539,wolteka01w
540,wolvean01w
541,wrighsh01w
542,wrighta01w
543,wyckobr01w
544,wynneda01w
545,yamasli01w
546,yilmane01w
547,youngca01w
548,youngso01w
549,youngta01w
550,zakalok01w
551,zarafr01w
552,zellosh01w
553,zirkozu01w
554,zollsh01w
555,MIN
556,CON
557,UTA
558,HOU
559,WAS
560,ORL
561,SAC
562,NYL
563,SEA
564,SAS
565,CHA
566,CLE
567,MIA
568,LAS
569,IND
570,DET
571,ATL
572,POR
573,PHO
574,CHI
575,Connecticut
576,New Mexico
577,George Washington
578,Rutgers
579,UNC Charlotte
580,DePaul
581,Notre Dame
582,0
583,Arizona State
584,Brigham Young
585,Vanderbilt
586,Wisconsin
587,Old Dominion
588,Tennessee
589,none
590,North Carolina
591,Texas A&M
592,Louisiana State
593,Kansas
594,Syracuse
595,Stanford
596,Boise State
597,Georgia
598,Duke
599,Washington
600,Academy of Sport Moscow
601,Arizona
602,Indiana
603,Montana State
604,Rice
605,Colorado
606,St. Joseph's
607,Maine
608,UCLA
609,Miami (FL)
610,Auburn
611,Missouri
612,Michigan State
613,Texas Tech
614,U. Western Sydney
615,Texas
616,Furman
617,Penn State
618,Georgetown
619,Maryland
620,Alabama
621,Louisiana Tech
622,Tulane
623,USC
624,Oklahoma
625,North Carolina State
626,UC Santa Barbara
627,Arkansas
628,Illinois State
629,Australian Institute of Sport
630,Kansas State
631,Ohio State
632,Iowa
633,Purdue
634,Baylor
635,Colorado State
636,Oregon
637,Florida State
638,Nebraska
639,George Mason
640,Temple
641,Harvard
642,Georgia Tech
643,Iowa State
644,Liberty
645,Duquesne
646,Virginia Tech
647,Howard
648,Mississippi
649,Middle Tennessee State
650,North Carolina State (jr-sr)
651,South Carolina
652,Florida Atlantic
653,Florida
654,Northern Illinois
655,Virginia Commonwealth
656,UNLV
657,Texas Christian
658,Florida International
659,Alabama-Birmingham
660,Boston College
661,Wisconsin-Green Bay
662,Memphis
663,Michigan
664,Houston
665,Western Kentucky
666,Oregon State
667,Pepperdine
668,West Virginia
669,Xavier
670,Providence
671,Kentucky
672,Minnesota
673,Louisville
674,St. Edwards
675,Utah
676,Long Beach State
677,Southern Nazarene
678,Valparaiso
679,Virginia
680,Denver
681,Central Florida
682,Seton Hall
683,Southern Mississippi
684,SE Oklahoma State
685,Hawai'i
686,Cincinnati
687,SW Tennessee CC
688,Mississippi State
689,Delaware
690,University of Sydney
691,California
692,Missouri State
693,Arkansas State
694,Western Illinois
695,Flordia
696,Clemson
697,Pittsburgh
698,Iona
699,Illinois
700,James Madison
701,WE
702,EA
703,adairje01w
704,adamsda01w
705,appelja01w
706,ayimmi01w
707,bjorkan01w
708,brelaje01w
709,camba01w
710,charlti01w
711,cheekjo01w
712,chestfe01w
713,chriska02w
714,colsosy01w
715,dunlavi01w
716,graylal01w
717,greenka01w
718,griffke01w
719,harriam01w
720,hightal01w
721,ibekwif01w
722,jonesma01w
723,kobryew01w
724,lacyna01w
725,lavenja01w
726,mccrada01w
727,monroja01w
728,montgal01w
729,moorema01w
730,oheaje01w
731,olajuab01w
732,pederka01w
733,phillpo01w
734,phillta02w
735,pohleje01w
736,princep01w
737,reedch01w
738,rileyan01w
739,robinda01w
740,swordca01w
741,thomaja01w
742,thomakr01w
743,vandeco01w
744,wrighmo01w
745,TUL
746,nan
747,UTEP (sr)
748,Arkansas-Little Rock
749,Oklahoma State
750,Gonzaga
