"bioID","pos","firstseason","lastseason","height","weight","college","collegeOther","birthDate","deathDate"
"dossaci01w","C",0,0,77.0,187,"","","1975-01-31","0000-00-00"
"douglka01w","G-F",0,0,72.0,167,"Purdue","","1979-05-07","0000-00-00"
"duffyme01w","G",0,0,67.0,135,"Notre Dame","","1984-07-13","0000-00-00"
"dunlavi01w","F",0,0,73.0,160,"Kentucky","","1989-09-19","0000-00-00"
"dunnli99wc","",0,0,0.0,0,"","","0000-00-00","0000-00-00"
"dunntr01wc","",0,0,0.0,0,"","","0000-00-00","0000-00-00"
"dupreca01w","F",0,0,74.0,162,"Temple","","1984-08-16","0000-00-00"
"dydekka01w","F-C",0,0,79.0,190,"Evangel","","1970-03-21","0000-00-00"
"dydekma01w","C",0,0,9.0,223,"","","1974-04-28","2011-05-27"
"edwarmi01w","G",0,0,69.0,150,"Rutgers","","1966-03-06","0000-00-00"
"edwarsi01w","C",0,0,76.0,164,"Iowa","","1973-11-17","0000-00-00"
"edwarte01w","G-F",0,0,71.0,155,"Georgia","","1964-07-09","0000-00-00"
"edwarto01w","G",0,0,70.0,160,"Tennessee","","1968-03-13","0000-00-00"
"elysh01w","F",0,0,74.0,182,"Tennessee","","1983-08-09","0000-00-00"
"enissh01w","F-C",0,0,73.0,185,"Alabama","","1974-12-03","0000-00-00"
"erbsu01w","C",0,0,78.0,240,"North Carolina State","","1977-07-25","0000-00-00"
"ervinla01w","F",0,0,76.0,171,"Arkansas","","1985-03-24","0000-00-00"
"estessh99w","",0,0,0.0,0,"","","0000-00-00","0000-00-00"
"evansda01w","G",0,0,67.0,0,"James Madison","","1989-06-30","0000-00-00"
"evansde01w","G",0,0,64.0,125,"Virginia","","1970-10-11","0000-00-00"
"fallotr01w","G-F",0,0,75.0,165,"","","1972-07-23","0000-00-00"
"farriba01w","C-F",0,0,75.0,200,"Tulane","","1976-09-10","0000-00-00"
"feastal01w","F",0,0,71.0,168,"Harvard","","1976-02-11","0000-00-00"
"feifesu01w","G",0,0,73.0,162,"","","1979-01-29","0000-00-00"
"feldeja01w","F",0,0,73.0,0,"Southern Mississippi","","1969-10-16","0000-00-00"
"ferdima01w","G",0,0,69.0,153,"Louisiana State","","1978-10-13","0000-00-00"
"fernama01w","G",0,0,71.0,138,"","","1981-12-21","0000-00-00"
"ferrama01w","F",0,0,75.0,190,"","","1972-02-11","0000-00-00"
"figgsuk01w","G",0,0,69.0,142,"Purdue","","1977-03-31","0000-00-00"
"fijalis01w","C",0,0,77.0,200,"Colorado","","1972-05-23","0000-00-00"
"firsool01w","C",0,0,78.0,215,"Kansas State","","1976-04-23","0000-00-00"
"floremi01w","G",0,0,66.0,125,"Stanford","","1977-10-19","0000-00-00"
"flukety01w","C",0,0,77.0,209,"Tennessee","","1984-12-27","0000-00-00"
"folklkr01w","F",0,0,74.0,190,"Stanford","","1975-12-19","0000-00-00"
"fordch01w","F",0,0,75.0,198,"Louisiana Tech","","1981-06-06","0000-00-00"
"fordki01w","G-F",0,0,70.0,153,"Georgia Tech","","1975-04-04","0000-00-00"
"fordst01w","F",0,0,74.0,185,"Georgia","","1969-01-14","0000-00-00"
"fortnne99w","",0,0,0.0,0,"","","0000-00-00","0000-00-00"
"fostecl99w","",0,0,0.0,0,"","","0000-00-00","0000-00-00"
"fosteto01w","F",0,0,73.0,175,"Iowa","","1971-10-16","0000-00-00"
"fowlesy01w","C",0,0,78.0,200,"Louisiana State","","1985-10-06","0000-00-00"
"francde01w","F",0,0,70.0,193,"Iowa State","","1975-08-24","0000-00-00"
"frankaq01w","G",0,0,64.0,154,"Texas A&M","","1985-09-29","0000-00-00"
"frankba01w","F-C",0,0,0.0,0,"Wisconsin","","0000-00-00","0000-00-00"
"frazeme01w","F",0,0,75.0,191,"Liberty","","1987-03-29","0000-00-00"
"freemla01w","F",0,0,73.0,175,"Auburn","","1971-03-17","0000-00-00"
"fresest01w","G",0,0,68.0,126,"Iowa State","","1976-09-23","0000-00-00"
"frettla01w","F",0,0,75.0,170,"Georgia","","1975-06-12","0000-00-00"
"friertr01w","F",0,0,74.0,186,"Louisiana Tech","","1979-08-23","0000-00-00"
"frohlli01w","F-C",0,0,75.0,185,"","","1979-06-23","0000-00-00"
"frostsh01w","C",0,0,76.0,184,"Tennessee","","1966-12-19","0000-00-00"
"futreca01w","G",0,0,70.0,154,"Duquesne","","1982-07-10","0000-00-00"
"gaineco01w","",0,0,0.0,0,"","","0000-00-00","0000-00-00"
"gaithka01w","C",0,0,75.0,170,"Notre Dame","","1975-08-13","0000-00-00"
"gamblam01w","F",0,0,70.0,163,"Arizona","","1964-12-17","0000-00-00"
"ganttr01w","C",0,0,74.0,181,"Lamar","","1971-10-10","0000-00-00"
"garcibe01w","G",0,0,65.0,135,"","","1976-09-03","0000-00-00"
"gardike01w","F",0,0,73.0,168,"Virginia Tech","","1984-05-19","0000-00-00"
"gardnan01w","F-C",0,0,75.0,190,"Howard","","1979-12-23","0000-00-00"
"garnean01w","F-C",0,0,75.0,160,"Penn State","","1979-01-05","0000-00-00"
"gaydeco01w","G",0,0,69.0,150,"Louisiana State","","1971-05-11","0000-00-00"
"gaypi01w","G-F",0,0,71.0,183,"Louisiana State","","1974-08-21","0000-00-00"
"gearlka01w","G-F",0,0,73.0,184,"Purdue","","1984-10-26","0000-00-00"
"gessiki01w","F",0,0,75.0,175,"USC","","1970-12-29","0000-00-00"
"gibsoke01w","F-G",0,0,70.0,136,"Maryland","","1976-11-10","0000-00-00"
"gilbrbr01w","G",0,0,73.0,0,"USC","","1990-08-16","0000-00-00"
"gilloje01w","F-C",0,0,75.0,180,"Mississippi","","1964-06-13","0000-00-00"
"gilmous01w","G",0,0,71.0,158,"Rutgers","","1978-08-24","0000-00-00"
"gisseka01w","F",0,0,73.0,178,"Penn State","North Carolina State","1985-07-27","0000-00-00"
"givench01w","G",0,0,70.0,0,"Middle Tennessee State","","1985-07-26","0000-00-00"
"godbyli01w","F-C",0,0,78.0,163,"Auburn","","1968-10-17","0000-00-00"
"gomisem01w","G",0,0,71.0,134,"","","1983-10-18","0000-00-00"
"goodemo01w","G",0,0,66.0,130,"Stanford","","1972-02-08","0000-00-00"
"goodeti01w","F",0,0,71.0,165,"Iowa","","1975-10-23","0000-00-00"
"goodlsa01w","C",0,0,77.0,239,"Georgia Tech","","1990-08-09","0000-00-00"
"goodsad01w","F",0,0,72.0,165,"Old Dominion","","1966-10-19","0000-00-00"
"gordobr01w","F",0,0,72.0,159,"Tennessee","","1967-04-27","0000-00-00"
"goringi01w","C",0,0,79.0,225,"North Carolina State (jr-sr)","Arkansas-Fort Smith (fr-so)","1983-06-07","0000-00-00"
"gortmsh01w","G",0,0,70.0,158,"South Carolina","","1979-12-07","0000-00-00"
"grafca99wc","",0,0,0.0,0,"","","0000-00-00","0000-00-00"
"grahama01w","C",0,0,75.0,240,"Houston","","1970-12-18","0000-00-00"
"granter01w","G",0,0,68.0,125,"Texas Tech","","1984-06-13","0000-00-00"
"gravede01w","C",0,0,77.0,212,"Howard","","1975-09-16","0000-00-00"
"graylal01w","G",0,0,68.0,176,"California","","1987-04-21","0000-00-00"
"grecomi01w","G",0,0,69.0,145,"UCLA","","1980-03-24","0000-00-00"
"greenci01w","C",0,0,77.0,183,"Texas Tech","","1983-04-04","0000-00-00"
"greenka01w","G",0,0,70.0,170,"Connecticut","","1987-07-13","0000-00-00"
"grginve01w","F",0,0,73.0,160,"","","1975-01-13","0000-00-00"
"griffke01w","F",0,0,74.0,179,"Nebraska","","1987-07-02","0000-00-00"
"griffyo01w","C-F",0,0,75.0,188,"Florida Atlantic","","1970-03-01","0000-00-00"
"groomla01w","G-F",0,0,70.0,160,"Georgia","","1970-09-12","0000-00-00"
"grubigo01w","G",0,0,71.0,165,"","","1972-08-20","0000-00-00"
"grudasa01w","F-C",0,0,76.0,185,"","","1987-06-25","0000-00-00"
"guytowa01w","F",0,0,73.0,178,"South Florida","","1965-10-14","0000-00-00"
"hagiwmi01w","G",0,0,71.0,161,"","","1970-04-27","0000-00-00"
"hairska01w","F",0,0,72.0,150,"Temple","","1985-08-18","0000-00-00"
"hallam01w","F",0,0,75.0,180,"Washington","","1977-12-29","0000-00-00"
"hallvi01w","F",0,0,73.0,180,"Texas","","1969-10-03","0000-00-00"
"hamblan01w","G",0,0,70.0,170,"Iowa","","1976-09-30","0000-00-00"
"hammobe01w","G",0,0,66.0,136,"Colorado State","","1977-03-11","0000-00-00"
"hamptky01w","F",0,0,74.0,210,"Arizona State","","1962-11-03","0000-00-00"
"hamzoro01w","G",0,0,69.0,152,"","","1970-08-17","0000-00-00"
"hardili01w","G",0,0,68.0,139,"Duke","","1984-06-12","0000-00-00"
"hardish01w","G",0,0,69.0,165,"Louisiana Tech","","1969-06-27","0000-00-00"
"hargrli99w","",0,0,0.0,0,"","","0000-00-00","0000-00-00"
"harpela01w","F-C",0,0,77.0,190,"Maryland","","1986-04-11","0000-00-00"
"harriam01w","F",0,0,77.0,202,"Xavier","","1988-01-16","0000-00-00"
"harrido01w","F",0,0,75.0,190,"Old Dominion","","1966-09-29","0000-00-00"
"harrifr01w","G",0,0,72.0,154,"Texas","","1965-03-12","0000-00-00"
"harrili01w","F",0,0,73.0,164,"Tennessee","","1971-01-02","0000-00-00"
"harrokr01w","G",0,0,64.0,139,"","","1975-03-04","0000-00-00"
"harveca99w","",0,0,0.0,0,"","","0000-00-00","0000-00-00"
"haydeva01w","C",0,0,76.0,240,"Florida","","1982-06-05","0000-00-00"
"hayesti01w","G",0,0,70.0,0,"Connecticut","","1989-09-20","0000-00-00"
