bioID,pos,firstseason,lastseason,height,weight,college,collegeOther,birthDate,playerID,year,stint_x,tmID,lgID,GP_x,GS,minutes,points,oRebounds,dRebounds,rebounds,assists,steals,blocks,turnovers,PF,fgAttempted,fgMade,ftAttempted,ftMade,threeAttempted,threeMade,dq,PostGP,PostGS,PostMinutes,PostPoints,PostoRebounds,PostdRebounds,PostRebounds,PostAssists,PostSteals,PostBlocks,PostTurnovers,PostPF,PostfgAttempted,PostfgMade,PostftAttempted,PostftMade,PostthreeAttempted,PostthreeMade,PostDQ,W,L,coachID,stint_y,won_x,lost_x,post_wins,post_losses,franchID,confID,rank,playoff,firstRound,semis,finals,name,o_fgm,o_fga,o_ftm,o_fta,o_3pm,o_3pa,o_oreb,o_dreb,o_asts,o_pf,o_stl,o_to,o_blk,o_pts,d_fgm,d_fga,d_ftm,d_fta,d_3pm,d_3pa,d_oreb,d_dreb,d_asts,d_pf,d_stl,d_to,d_blk,d_pts,tmORB,tmDRB,tmTRB,opptmORB,opptmDRB,opptmTRB,won_y,lost_y,GP_y,homeW,homeL,awayW,awayL,confW,confL,min,attend
vangomi01w,C,0,0,78.0,187,Duke,,1977-05-10,vangomi01w,4,0,MIN,WNBA,31,1,528,175,32,75,107,17,10,20,56,87,162,70,52,35,1,0,2,3,0,31,9,0,1,1,3,1,3,4,11,7,2,8,5,0,0,0,1,2,mcconsu01w,0,18,16,1,2,MIN,WE,4,Y,L,,,Minnesota Lynx,875,1978,450,624,180,524,361,718,580,634,242,558,101,2380,878,2067,473,633,141,446,337,652,528,666,271,471,126,2370,0,0,0,0,0,0,18,16,34,11,6,7,10,14,10,6850,120253
abrossv01w,F,0,0,74.0,169,Connecticut,,1980-07-09,abrossv01w,5,0,MIN,WNBA,22,11,462,146,17,57,74,45,30,2,43,42,139,49,46,28,53,20,0,2,2,67,20,3,6,9,3,1,2,3,7,23,8,4,2,8,2,0,0,2,mcconsu01w,0,18,16,0,2,MIN,WE,3,Y,L,,,Minnesota Lynx,767,1900,454,640,177,542,332,724,526,660,257,613,139,2165,804,1972,490,669,92,330,323,713,508,676,333,502,133,2190,0,0,0,0,0,0,18,16,34,11,6,7,10,12,10,6850,125097
buttsta01w,G,0,0,71.0,160,Tennessee,,1982-03-10,buttsta01w,5,0,MIN,WNBA,30,0,423,76,21,41,62,25,13,7,23,37,80,24,25,18,37,10,1,1,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,2,mcconsu01w,0,18,16,0,2,MIN,WE,3,Y,L,,,Minnesota Lynx,767,1900,454,640,177,542,332,724,526,660,257,613,139,2165,804,1972,490,669,92,330,323,713,508,676,333,502,133,2190,0,0,0,0,0,0,18,16,34,11,6,7,10,12,10,6850,125097
darlihe01w,G,0,0,66.0,164,Penn State,,1978-08-29,darlihe01w,5,0,MIN,WNBA,33,22,707,140,11,56,67,115,30,4,74,83,130,43,63,42,55,12,0,2,2,44,7,2,1,3,3,3,0,11,4,9,2,2,1,3,2,0,0,2,mcconsu01w,0,18,16,0,2,MIN,WE,3,Y,L,,,Minnesota Lynx,767,1900,454,640,177,542,332,724,526,660,257,613,139,2165,804,1972,490,669,92,330,323,713,508,676,333,502,133,2190,0,0,0,0,0,0,18,16,34,11,6,7,10,12,10,6850,125097
edwarte01w,G-F,0,0,71.0,155,Georgia,,1964-07-09,edwarte01w,5,0,MIN,WNBA,34,34,697,194,29,61,90,79,47,8,93,37,200,74,30,21,85,25,0,2,2,43,6,1,4,5,2,3,1,4,5,6,1,4,3,5,1,0,0,2,mcconsu01w,0,18,16,0,2,MIN,WE,3,Y,L,,,Minnesota Lynx,767,1900,454,640,177,542,332,724,526,660,257,613,139,2165,804,1972,490,669,92,330,323,713,508,676,333,502,133,2190,0,0,0,0,0,0,18,16,34,11,6,7,10,12,10,6850,125097
haydeva01w,C,0,0,76.0,240,Florida,,1982-06-05,haydeva01w,5,0,MIN,WNBA,29,1,350,153,23,61,84,7,7,29,34,65,159,66,38,21,0,0,0,2,0,16,4,0,2,2,0,0,1,3,2,7,2,0,0,0,0,0,0,2,mcconsu01w,0,18,16,0,2,MIN,WE,3,Y,L,,,Minnesota Lynx,767,1900,454,640,177,542,332,724,526,660,257,613,139,2165,804,1972,490,669,92,330,323,713,508,676,333,502,133,2190,0,0,0,0,0,0,18,16,34,11,6,7,10,12,10,6850,125097
jacobam01w,G,0,0,68.0,152,Boston College,,1982-06-29,jacobam01w,5,0,MIN,WNBA,32,0,391,101,3,33,36,47,13,0,45,36,100,31,22,20,60,19,0,2,0,36,8,0,1,1,2,0,0,4,0,5,3,2,1,2,1,0,0,2,mcconsu01w,0,18,16,0,2,MIN,WE,3,Y,L,,,Minnesota Lynx,767,1900,454,640,177,542,332,724,526,660,257,613,139,2165,804,1972,490,669,92,330,323,713,508,676,333,502,133,2190,0,0,0,0,0,0,18,16,34,11,6,7,10,12,10,6850,125097
lassiam01w,F,0,0,73.0,160,Missouri,,1979-06-09,lassiam01w,5,0,MIN,WNBA,33,12,563,127,15,65,80,37,21,22,40,74,135,47,9,6,89,27,0,2,0,30,9,0,4,4,1,2,3,4,5,7,3,0,0,6,3,0,0,2,mcconsu01w,0,18,16,0,2,MIN,WE,3,Y,L,,,Minnesota Lynx,767,1900,454,640,177,542,332,724,526,660,257,613,139,2165,804,1972,490,669,92,330,323,713,508,676,333,502,133,2190,0,0,0,0,0,0,18,16,34,11,6,7,10,12,10,6850,125097
lovelst01w,F,0,0,76.0,170,Purdue,,1974-12-05,lovelst01w,5,0,MIN,WNBA,34,0,388,121,25,41,66,20,18,9,45,47,122,49,24,20,17,3,0,2,0,17,6,1,2,3,1,0,1,1,0,4,2,4,2,1,0,0,0,2,mcconsu01w,0,18,16,0,2,MIN,WE,3,Y,L,,,Minnesota Lynx,767,1900,454,640,177,542,332,724,526,660,257,613,139,2165,804,1972,490,669,92,330,323,713,508,676,333,502,133,2190,0,0,0,0,0,0,18,16,34,11,6,7,10,12,10,6850,125097
ohldeni01w,F-C,0,0,77.0,190,Kansas State,,1982-03-13,ohldeni01w,5,0,MIN,WNBA,34,34,1018,397,83,111,194,60,16,45,74,103,308,136,177,125,2,0,1,2,2,74,28,4,6,10,9,1,0,6,5,23,11,10,6,0,0,0,0,2,mcconsu01w,0,18,16,0,2,MIN,WE,3,Y,L,,,Minnesota Lynx,767,1900,454,640,177,542,332,724,526,660,257,613,139,2165,804,1972,490,669,92,330,323,713,508,676,333,502,133,2190,0,0,0,0,0,0,18,16,34,11,6,7,10,12,10,6850,125097
slauggw01w,F,0,0,75.0,181,Tulane,,1980-07-01,slauggw01w,5,0,MIN,WNBA,3,0,7,2,0,1,1,0,0,1,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,mcconsu01w,0,18,16,0,2,MIN,WE,3,Y,L,,,Minnesota Lynx,767,1900,454,640,177,542,332,724,526,660,257,613,139,2165,804,1972,490,669,92,330,323,713,508,676,333,502,133,2190,0,0,0,0,0,0,18,16,34,11,6,7,10,12,10,6850,125097
smithka01w,G-F,0,0,71.0,174,Ohio State,,1974-06-04,smithka01w,5,0,MIN,WNBA,23,23,800,432,17,67,84,52,23,6,51,63,318,137,109,98,139,60,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,mcconsu01w,0,18,16,0,2,MIN,WE,3,Y,L,,,Minnesota Lynx,767,1900,454,640,177,542,332,724,526,660,257,613,139,2165,804,1972,490,669,92,330,323,713,508,676,333,502,133,2190,0,0,0,0,0,0,18,16,34,11,6,7,10,12,10,6850,125097
vangomi01w,C,0,0,78.0,187,Duke,,1977-05-10,vangomi01w,5,0,MIN,WNBA,8,0,66,22,6,7,13,1,0,1,7,8,19,9,8,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,mcconsu01w,0,18,16,0,2,MIN,WE,3,Y,L,,,Minnesota Lynx,767,1900,454,640,177,542,332,724,526,660,257,613,139,2165,804,1972,490,669,92,330,323,713,508,676,333,502,133,2190,0,0,0,0,0,0,18,16,34,11,6,7,10,12,10,6850,125097
abrossv01w,F,0,0,74.0,169,Connecticut,,1980-07-09,abrossv01w,9,0,CON,WNBA,6,0,107,34,3,17,20,12,8,0,11,13,36,11,12,10,12,2,0,3,2,63,24,3,8,11,4,4,0,3,8,24,11,4,2,5,0,0,1,2,thibami99w,0,21,13,1,2,CON,EA,2,Y,L,,,Connecticut Sun,965,2286,539,723,221,669,370,869,607,629,211,487,97,2690,955,2284,472,638,159,496,360,840,554,703,252,499,104,2541,0,0,0,0,0,0,21,13,34,13,4,8,9,13,7,6850,129951
anderjo01w,G,0,0,68.0,166,Wisconsin,,1986-07-22,anderjo01w,9,0,CON,WNBA,24,7,367,97,11,47,58,26,7,1,16,17,126,35,15,11,69,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,thibami99w,0,21,13,1,2,CON,EA,2,Y,L,,,Connecticut Sun,965,2286,539,723,221,669,370,869,607,629,211,487,97,2690,955,2284,472,638,159,496,360,840,554,703,252,499,104,2541,0,0,0,0,0,0,21,13,34,13,4,8,9,13,7,6850,129951
careyja01w,G,0,0,66.0,135,Texas,,1981-03-12,careyja01w,9,0,CON,WNBA,33,3,499,137,4,36,40,47,8,1,22,24,111,47,10,9,83,34,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,thibami99w,0,21,13,1,2,CON,EA,2,Y,L,,,Connecticut Sun,965,2286,539,723,221,669,370,869,607,629,211,487,97,2690,955,2284,472,638,159,496,360,840,554,703,252,499,104,2541,0,0,0,0,0,0,21,13,34,13,4,8,9,13,7,6850,129951
gardike01w,F,0,0,73.0,168,Virginia Tech,,1984-05-19,gardike01w,9,0,CON,WNBA,34,15,540,137,38,73,111,41,29,7,45,56,133,47,41,22,56,21,0,3,3,57,11,4,3,7,3,5,1,1,6,10,4,4,2,3,1,0,1,2,thibami99w,0,21,13,1,2,CON,EA,2,Y,L,,,Connecticut Sun,965,2286,539,723,221,669,370,869,607,629,211,487,97,2690,955,2284,472,638,159,496,360,840,554,703,252,499,104,2541,0,0,0,0,0,0,21,13,34,13,4,8,9,13,7,6850,129951
grudasa01w,F-C,0,0,76.0,185,,,1987-06-25,grudasa01w,9,0,CON,WNBA,31,1,476,193,44,66,110,28,19,26,41,56,178,81,57,31,0,0,0,3,0,27,8,0,4,4,1,1,0,4,2,7,4,0,0,0,0,0,1,2,thibami99w,0,21,13,1,2,CON,EA,2,Y,L,,,Connecticut Sun,965,2286,539,723,221,669,370,869,607,629,211,487,97,2690,955,2284,472,638,159,496,360,840,554,703,252,499,104,2541,0,0,0,0,0,0,21,13,34,13,4,8,9,13,7,6850,129951
holtam01w,F,0,0,72.0,168,Middle Tennessee State,,1985-06-07,holtam01w,9,0,CON,WNBA,34,34,714,222,37,68,105,65,15,5,31,67,199,81,45,35,76,25,0,3,1,55,11,4,8,12,4,1,0,2,2,16,3,4,4,6,1,0,1,2,thibami99w,0,21,13,1,2,CON,EA,2,Y,L,,,Connecticut Sun,965,2286,539,723,221,669,370,869,607,629,211,487,97,2690,955,2284,472,638,159,496,360,840,554,703,252,499,104,2541,0,0,0,0,0,0,21,13,34,13,4,8,9,13,7,6850,129951
jonesas01w,F,0,0,74.0,196,Connecticut,,1980-08-01,jonesas01w,9,0,CON,WNBA,33,33,963,561,73,128,201,81,20,26,74,85,461,223,139,110,23,5,2,3,3,98,45,9,13,22,4,2,1,7,9,47,17,12,11,2,0,0,1,2,thibami99w,0,21,13,1,2,CON,EA,2,Y,L,,,Connecticut Sun,965,2286,539,723,221,669,370,869,607,629,211,487,97,2690,955,2284,472,638,159,496,360,840,554,703,252,499,104,2541,0,0,0,0,0,0,21,13,34,13,4,8,9,13,7,6850,129951
pageda01w,F,0,0,74.0,179,Nebraska,,1986-11-14,pageda01w,9,0,CON,WNBA,3,0,12,6,2,4,6,0,0,0,2,3,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,thibami99w,0,21,13,1,2,CON,EA,2,Y,L,,,Connecticut Sun,965,2286,539,723,221,669,370,869,607,629,211,487,97,2690,955,2284,472,638,159,496,360,840,554,703,252,499,104,2541,0,0,0,0,0,0,21,13,34,13,4,8,9,13,7,6850,129951
philler01w,G,0,0,67.0,162,,,1985-05-19,philler01w,9,0,CON,WNBA,8,0,86,41,9,8,17,3,4,1,6,7,28,13,11,9,12,6,0,3,0,36,9,0,2,2,5,0,1,1,0,11,3,0,0,6,3,0,1,2,thibami99w,0,21,13,1,2,CON,EA,2,Y,L,,,Connecticut Sun,965,2286,539,723,221,669,370,869,607,629,211,487,97,2690,955,2284,472,638,159,496,360,840,554,703,252,499,104,2541,0,0,0,0,0,0,21,13,34,13,4,8,9,13,7,6850,129951
swanike01w,G,0,0,67.0,144,Connecticut,,1986-08-10,swanike01w,9,0,CON,WNBA,25,6,231,41,5,24,29,26,14,1,20,17,47,13,10,8,30,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,thibami99w,0,21,13,1,2,CON,EA,2,Y,L,,,Connecticut Sun,965,2286,539,723,221,669,370,869,607,629,211,487,97,2690,955,2284,472,638,159,496,360,840,554,703,252,499,104,2541,0,0,0,0,0,0,21,13,34,13,4,8,9,13,7,6850,129951
turneba01w,G-F,0,0,72.0,172,Connecticut,,1984-06-08,turneba01w,9,0,CON,WNBA,34,6,663,273,23,85,108,52,12,14,40,62,192,80,89,69,118,44,0,3,0,57,16,3,7,10,1,0,1,3,6,22,5,2,2,14,4,0,1,2,thibami99w,0,21,13,1,2,CON,EA,2,Y,L,,,Connecticut Sun,965,2286,539,723,221,669,370,869,607,629,211,487,97,2690,955,2284,472,638,159,496,360,840,554,703,252,499,104,2541,0,0,0,0,0,0,21,13,34,13,4,8,9,13,7,6850,129951
whaleli01w,G,0,0,68.0,150,Minnesota,,1982-05-09,whaleli01w,9,0,CON,WNBA,31,31,908,435,33,141,174,166,45,1,58,87,306,141,157,126,80,27,0,3,3,90,40,3,11,14,12,4,0,7,7,30,12,15,13,12,3,0,1,2,thibami99w,0,21,13,1,2,CON,EA,2,Y,L,,,Connecticut Sun,965,2286,539,723,221,669,370,869,607,629,211,487,97,2690,955,2284,472,638,159,496,360,840,554,703,252,499,104,2541,0,0,0,0,0,0,21,13,34,13,4,8,9,13,7,6850,129951
whitmta01w,F,0,0,74.0,190,Memphis,,1977-06-05,whitmta01w,9,0,CON,WNBA,34,33,911,429,40,121,161,47,20,13,68,95,392,160,96,75,108,34,1,3,3,87,30,6,8,14,6,4,0,8,5,32,12,9,6,7,0,0,1,2,thibami99w,0,21,13,1,2,CON,EA,2,Y,L,,,Connecticut Sun,965,2286,539,723,221,669,370,869,607,629,211,487,97,2690,955,2284,472,638,159,496,360,840,554,703,252,499,104,2541,0,0,0,0,0,0,21,13,34,13,4,8,9,13,7,6850,129951
aguilel01w,G,0,0,67.0,165,George Washington,,1976-10-15,aguilel01w,3,0,UTA,WNBA,28,0,141,43,0,11,11,16,3,2,11,5,33,14,7,4,21,11,0,2,0,4,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,2,3,harveca99w,0,20,12,2,3,SAS,WE,3,Y,W,,,Utah Starzz,843,1911,643,844,89,247,347,721,478,665,228,522,178,2418,851,2067,516,688,126,377,361,645,489,724,260,444,149,2344,0,0,0,0,0,0,20,12,32,12,4,8,8,12,9,6450,118720
azzije01w,G,0,0,68.0,143,Stanford,,1968-08-31,azzije01w,3,0,UTA,WNBA,32,32,1151,306,15,54,69,158,27,14,67,102,198,91,104,83,92,41,0,5,5,186,40,2,11,13,34,4,5,8,20,33,13,8,7,19,7,0,2,3,harveca99w,0,20,12,2,3,SAS,WE,3,Y,W,,,Utah Starzz,843,1911,643,844,89,247,347,721,478,665,228,522,178,2418,851,2067,516,688,126,377,361,645,489,724,260,444,149,2344,0,0,0,0,0,0,20,12,32,12,4,8,8,12,9,6450,118720
caufila01w,G,0,0,69.0,159,Oklahoma,,1980-05-25,caufila01w,3,0,UTA,WNBA,8,0,65,19,3,2,5,1,7,0,8,13,15,6,2,2,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,harveca99w,0,20,12,2,3,SAS,WE,3,Y,W,,,Utah Starzz,843,1911,643,844,89,247,347,721,478,665,228,522,178,2418,851,2067,516,688,126,377,361,645,489,724,260,444,149,2344,0,0,0,0,0,0,20,12,32,12,4,8,8,12,9,6450,118720
crockda01w,F,0,0,73.0,158,Baylor,,1981-02-11,crockda01w,3,0,UTA,WNBA,18,0,84,29,6,7,13,2,0,2,3,8,28,10,12,9,1,0,0,1,0,2,2,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,2,3,harveca99w,0,20,12,2,3,SAS,WE,3,Y,W,,,Utah Starzz,843,1911,643,844,89,247,347,721,478,665,228,522,178,2418,851,2067,516,688,126,377,361,645,489,724,260,444,149,2344,0,0,0,0,0,0,20,12,32,12,4,8,8,12,9,6450,118720
ferdima01w,G,0,0,69.0,153,Louisiana State,,1978-10-13,ferdima01w,3,0,UTA,WNBA,32,32,1065,489,19,88,107,91,51,7,89,86,371,176,171,132,34,5,0,5,5,186,74,4,18,22,13,10,0,20,16,56,25,34,23,5,1,0,2,3,harveca99w,0,20,12,2,3,SAS,WE,3,Y,W,,,Utah Starzz,843,1911,643,844,89,247,347,721,478,665,228,522,178,2418,851,2067,516,688,126,377,361,645,489,724,260,444,149,2344,0,0,0,0,0,0,20,12,32,12,4,8,8,12,9,6450,118720
gardnan01w,F-C,0,0,75.0,190,Howard,,1979-12-23,gardnan01w,3,0,UTA,WNBA,30,2,198,57,29,32,61,5,3,3,13,35,49,18,38,21,0,0,0,3,0,14,5,1,3,4,0,0,1,1,5,3,2,2,1,0,0,0,2,3,harveca99w,0,20,12,2,3,SAS,WE,3,Y,W,,,Utah Starzz,843,1911,643,844,89,247,347,721,478,665,228,522,178,2418,851,2067,516,688,126,377,361,645,489,724,260,444,149,2344,0,0,0,0,0,0,20,12,32,12,4,8,8,12,9,6450,118720
goodsad01w,F,0,0,72.0,165,Old Dominion,,1966-10-19,goodsad01w,3,0,UTA,WNBA,32,32,1101,503,91,90,181,67,45,6,102,92,419,189,157,117,28,8,0,5,5,190,72,9,18,27,8,7,0,21,11,74,29,17,12,7,2,0,2,3,harveca99w,0,20,12,2,3,SAS,WE,3,Y,W,,,Utah Starzz,843,1911,643,844,89,247,347,721,478,665,228,522,178,2418,851,2067,516,688,126,377,361,645,489,724,260,444,149,2344,0,0,0,0,0,0,20,12,32,12,4,8,8,12,9,6450,118720
herriam01w,C,0,0,76.0,189,Iowa,,1977-06-06,herriam01w,3,0,UTA,WNBA,28,3,269,68,15,42,57,4,9,14,21,35,53,23,30,22,0,0,0,2,0,9,2,1,1,2,0,0,1,1,1,1,1,0,0,0,0,0,2,3,harveca99w,0,20,12,2,3,SAS,WE,3,Y,W,,,Utah Starzz,843,1911,643,844,89,247,347,721,478,665,228,522,178,2418,851,2067,516,688,126,377,361,645,489,724,260,444,149,2344,0,0,0,0,0,0,20,12,32,12,4,8,8,12,9,6450,118720
johnsla01w,F,0,0,73.0,150,Memphis,,1975-08-17,johnsla01w,3,0,UTA,WNBA,28,1,269,75,8,11,19,10,7,2,15,36,76,25,20,15,32,10,1,5,0,40,17,2,2,4,2,0,0,1,2,14,7,2,1,9,2,0,2,3,harveca99w,0,20,12,2,3,SAS,WE,3,Y,W,,,Utah Starzz,843,1911,643,844,89,247,347,721,478,665,228,522,178,2418,851,2067,516,688,126,377,361,645,489,724,260,444,149,2344,0,0,0,0,0,0,20,12,32,12,4,8,8,12,9,6450,118720
randase01w,G,0,0,69.0,164,Tennessee,,1979-02-07,randase01w,3,2,UTA,WNBA,8,0,135,58,4,17,21,8,4,1,10,16,40,18,29,22,2,0,0,5,0,62,20,3,9,12,5,1,0,3,9,22,8,5,4,0,0,0,2,3,harveca99w,0,20,12,2,3,SAS,WE,3,Y,W,,,Utah Starzz,843,1911,643,844,89,247,347,721,478,665,228,522,178,2418,851,2067,516,688,126,377,361,645,489,724,260,444,149,2344,0,0,0,0,0,0,20,12,32,12,4,8,8,12,9,6450,118720
starbka01w,G,0,0,73.0,153,Stanford,,1975-07-30,starbka01w,3,1,UTA,WNBA,15,0,88,26,0,7,7,7,9,4,2,16,25,10,7,4,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,harveca99w,0,20,12,2,3,SAS,WE,3,Y,W,,,Utah Starzz,843,1911,643,844,89,247,347,721,478,665,228,522,178,2418,851,2067,516,688,126,377,361,645,489,724,260,444,149,2344,0,0,0,0,0,0,20,12,32,12,4,8,8,12,9,6450,118720
