bioID,pos,firstseason,lastseason,height,weight,college,collegeOther,birthDate
chriska01w,F,0,0,74.0,171,UC Santa Barbara,,1980-11-16
chrissh01w,F,0,0,73.0,170,Arkansas,,1982-02-15
cironkr01w,G,0,0,68.0,150,Illinois State,,1987-05-19
clearmi01w,G,0,0,66.0,126,Australian Institute of Sport,,1974-07-16
clinest01w,G,0,0,65.0,148,UC Santa Barbara,,1978-04-22
coggicl01w,G,0,0,71.0,170,Kansas State,,1985-05-19
cokermo01w,F,0,0,73.0,180,Old Dominion,,1982-11-28
colemco01w,F,0,0,72.0,170,Ohio State,,1981-04-13
colemma01w,G-F,0,0,73.0,160,Maryland,,1987-01-04
colleka01w,G-F,0,0,70.0,145,Maryland,,1971-03-17
consuca01w,G,0,0,68.0,144,Iowa,,1979-03-04
coopeca01w,C,0,0,76.0,176,Purdue,,1979-02-05
coopecy01w,G,0,0,70.0,150,USC,,1963-04-14
crawlsy01w,F-C,0,0,77.0,187,North Carolina,,1972-09-27
crockda01w,F,0,0,73.0,158,Baylor,,1981-02-11
crockwi01w,F,0,0,74.0,215,Connecticut,,1984-07-05
cronika01w,G,0,0,72.0,155,Colorado State,,1977-09-08
cunnibe01w,G,0,0,72.0,163,Notre Dame,,1975-06-05
cunnida01w,F,0,0,72.0,187,Rutgers,,1980-01-27
currimo01w,F,0,0,72.0,177,Duke,,1983-02-25
curryed01w,G,0,0,64.0,138,Oregon,,1979-07-09
dalesst01w,G-F,0,0,72.0,155,Oklahoma,,1979-09-05
daleygr01w,G,0,0,66.0,147,Tulane,,1978-06-26
darlihe01w,G,0,0,66.0,164,Penn State,,1978-08-29
davenje01w,C,0,0,77.0,215,Ohio State,,1985-06-24
davisbr01w,G,0,0,72.0,172,Oregon,,1983-01-01
davisde01w,G,0,0,67.0,138,Vanderbilt,,1984-11-08
davista02w,G,0,0,71.0,0,Florida State,,1987-06-07
deforan01w,G,0,0,70.0,160,Nebraska,,1976-04-14
derevje01w,G,0,0,70.0,140,George Mason,,1982-03-29
desouer01w,F-C,0,0,77.0,190,,,1982-03-03
dickeke01w,F,0,0,71.0,165,Texas Tech,,1978-04-20
dillata01w,G,0,0,69.0,154,Texas,,1981-05-06
dixonta01w,G,0,0,69.0,148,Kansas,,1975-12-14
donapbe01w,F-C,0,0,74.0,195,Stanford,,1980-08-27
doronsh01w,G,0,0,69.0,145,Maryland,,1985-04-01
dossaci01w,C,0,0,77.0,187,,,1975-01-31
douglka01w,G-F,0,0,72.0,167,Purdue,,1979-05-07
duffyme01w,G,0,0,67.0,135,Notre Dame,,1984-07-13
dupreca01w,F,0,0,74.0,162,Temple,,1984-08-16
edwarmi01w,G,0,0,69.0,150,Rutgers,,1966-03-06
edwarsi01w,C,0,0,76.0,164,Iowa,,1973-11-17
edwarte01w,G-F,0,0,71.0,155,Georgia,,1964-07-09
edwarto01w,G,0,0,70.0,160,Tennessee,,1968-03-13
elysh01w,F,0,0,74.0,182,Tennessee,,1983-08-09
enissh01w,F-C,0,0,73.0,185,Alabama,,1974-12-03
erbsu01w,C,0,0,78.0,240,North Carolina State,,1977-07-25
ervinla01w,F,0,0,76.0,171,Arkansas,,1985-03-24
fallotr01w,G-F,0,0,75.0,165,,,1972-07-23
farriba01w,C-F,0,0,75.0,200,Tulane,,1976-09-10
feastal01w,F,0,0,71.0,168,Harvard,,1976-02-11
feifesu01w,G,0,0,73.0,162,,,1979-01-29
ferdima01w,G,0,0,69.0,153,Louisiana State,,1978-10-13
fernama01w,G,0,0,71.0,138,,,1981-12-21
ferrama01w,F,0,0,75.0,190,,,1972-02-11
figgsuk01w,G,0,0,69.0,142,Purdue,,1977-03-31
firsool01w,C,0,0,78.0,215,Kansas State,,1976-04-23
floremi01w,G,0,0,66.0,125,Stanford,,1977-10-19
flukety01w,C,0,0,77.0,209,Tennessee,,1984-12-27
folklkr01w,F,0,0,74.0,190,Stanford,,1975-12-19
fordch01w,F,0,0,75.0,198,Louisiana Tech,,1981-06-06
fordki01w,G-F,0,0,70.0,153,Georgia Tech,,1975-04-04
fordst01w,F,0,0,74.0,185,Georgia,,1969-01-14
fowlesy01w,C,0,0,78.0,200,Louisiana State,,1985-10-06
francde01w,F,0,0,70.0,193,Iowa State,,1975-08-24
frankaq01w,G,0,0,64.0,154,Texas A&M,,1985-09-29
frazeme01w,F,0,0,75.0,191,Liberty,,1987-03-29
fresest01w,G,0,0,68.0,126,Iowa State,,1976-09-23
frettla01w,F,0,0,75.0,170,Georgia,,1975-06-12
friertr01w,F,0,0,74.0,186,Louisiana Tech,,1979-08-23
frohlli01w,F-C,0,0,75.0,185,,,1979-06-23
futreca01w,G,0,0,70.0,154,Duquesne,,1982-07-10
gaithka01w,C,0,0,75.0,170,Notre Dame,,1975-08-13
garcibe01w,G,0,0,65.0,135,,,1976-09-03
gardike01w,F,0,0,73.0,168,Virginia Tech,,1984-05-19
gardnan01w,F-C,0,0,75.0,190,Howard,,1979-12-23
garnean01w,F-C,0,0,75.0,160,Penn State,,1979-01-05
gaydeco01w,G,0,0,69.0,150,Louisiana State,,1971-05-11
gearlka01w,G-F,0,0,73.0,184,Purdue,,1984-10-26
gibsoke01w,F-G,0,0,70.0,136,Maryland,,1976-11-10
gilloje01w,F-C,0,0,75.0,180,Mississippi,,1964-06-13
gilmous01w,G,0,0,71.0,158,Rutgers,,1978-08-24
gisseka01w,F,0,0,73.0,178,Penn State,North Carolina State,1985-07-27
givench01w,G,0,0,70.0,0,Middle Tennessee State,,1985-07-26
gomisem01w,G,0,0,71.0,134,,,1983-10-18
goodsad01w,F,0,0,72.0,165,Old Dominion,,1966-10-19
goringi01w,C,0,0,79.0,225,North Carolina State (jr-sr),Arkansas-Fort Smith (fr-so),1983-06-07
gortmsh01w,G,0,0,70.0,158,South Carolina,,1979-12-07
granter01w,G,0,0,68.0,125,Texas Tech,,1984-06-13
grecomi01w,G,0,0,69.0,145,UCLA,,1980-03-24
greenci01w,C,0,0,77.0,183,Texas Tech,,1983-04-04
grginve01w,F,0,0,73.0,160,,,1975-01-13
griffyo01w,C-F,0,0,75.0,188,Florida Atlantic,,1970-03-01
groomla01w,G-F,0,0,70.0,160,Georgia,,1970-09-12
grubigo01w,G,0,0,71.0,165,,,1972-08-20
grudasa01w,F-C,0,0,76.0,185,,,1987-06-25
hairska01w,F,0,0,72.0,150,Temple,,1985-08-18
hallam01w,F,0,0,75.0,180,Washington,,1977-12-29
hallvi01w,F,0,0,73.0,180,Texas,,1969-10-03
hammobe01w,G,0,0,66.0,136,Colorado State,,1977-03-11
hamzoro01w,G,0,0,69.0,152,,,1970-08-17
hardili01w,G,0,0,68.0,139,Duke,,1984-06-12
harpela01w,F-C,0,0,77.0,190,Maryland,,1986-04-11
harrido01w,F,0,0,75.0,190,Old Dominion,,1966-09-29
harrili01w,F,0,0,73.0,164,Tennessee,,1971-01-02
harrokr01w,G,0,0,64.0,139,,,1975-03-04
haydeva01w,C,0,0,76.0,240,Florida,,1982-06-05
haynikr01w,G,0,0,69.0,147,Michigan State,,1983-06-17
headde01w,G,0,0,70.0,160,Tennessee,,1970-08-16
hendene01w,G,0,0,68.0,144,Texas,,1973-02-28
hendetr01w,C,0,0,75.0,200,Georgia,,1974-12-31
henniso01w,G,0,0,67.0,143,Stanford,,1969-10-04
herriam01w,C,0,0,76.0,189,Iowa,,1977-06-06
hibbeka01w,G-F,0,0,70.0,140,Louisiana State,,1977-09-29
hicksje01w,F-C,0,0,76.0,188,Maryland,,1971-12-02
hillec01w,G,0,0,67.0,173,Northern Illinois,,1971-04-06
hledeko01w,G,0,0,69.0,150,Duquesne,,1975-03-29
hodgedo01w,G,0,0,69.0,160,Louisiana State,,1982-07-19
hodgero01w,G,0,0,71.0,165,Florida State,,1982-07-19
hoffmeb01w,F,0,0,74.0,215,USC,,1982-08-27
holdsch01w,F,0,0,74.0,172,Tennessee,,1977-08-09
hollake01w,G,0,0,68.0,129,Georgia,,1974-11-05
holliqu01w,C,0,0,77.0,201,Virginia Commonwealth,,1988-11-15
holmejo01w,F,0,0,70.0,150,Purdue,,1969-03-31
holmese01w,G-F,0,0,73.0,155,UNLV,,1986-06-13
holtam01w,F,0,0,72.0,168,Middle Tennessee State,,1985-06-07
hopeky01w,C,0,0,74.0,165,Miami (FL),,1977-11-23
hornbal01w,G,0,0,71.0,155,Tennessee,,1985-10-16
houstch01w,F,0,0,72.0,189,Connecticut,,1986-04-10
humphta01w,C,0,0,75.0,190,Georgia,,1985-12-29
irvinsa01w,F,0,0,75.0,185,Texas Christian,,1982-02-23
ivanyda01w,G,0,0,70.0,135,Florida International,,1976-03-18
iveyni01w,G,0,0,67.0,149,Notre Dame,,1977-09-24
jacksde01w,F,0,0,74.0,155,Alabama-Birmingham,,1979-12-15
jacksgw01w,F,0,0,75.0,182,Tennessee,,1980-10-23
jacksla01w,F-C,0,0,77.0,187,,,1981-05-11
jacksta01w,F-C,0,0,75.0,179,Florida,,1962-12-03
jacksta02w,G,0,0,66.0,118,Louisiana Tech,,1978-04-22
jacksti02w,F,0,0,75.0,185,Texas,,1985-04-26
jacobam01w,G,0,0,68.0,152,Boston College,,1982-06-29
jamesta01w,F,0,0,69.0,158,Miami (FL),,1984-06-13
januabr01w,G,0,0,68.0,144,Arizona State,,1987-01-11
jekaban01w,G,0,0,69.0,180,,,1983-08-12
joensca01w,G-F,0,0,71.0,165,George Washington,,1981-02-12
johnsad01w,G,0,0,70.0,154,Ohio State,,1974-02-05
johnsch01w,C,0,0,75.0,185,Wisconsin-Green Bay,,1981-03-19
johnsja01w,F,0,0,72.0,201,Kansas,,1979-03-16
johnsla01w,F,0,0,73.0,150,Memphis,,1975-08-17
johnsni01w,G,0,0,69.0,146,Alabama,,1973-02-07
johnspo01w,C,0,0,75.0,165,Michigan,,1975-11-06
johnssh01w,G,0,0,67.0,152,South Carolina,,1974-08-18
johnste01w,G,0,0,63.0,132,Louisiana State,,1982-09-06
johnsti01w,C,0,0,76.0,240,Tennessee,,1975-12-27
johnsvi01w,G-F,0,0,69.0,150,Louisiana Tech,,1972-04-15
jonesas01w,F,0,0,74.0,196,Connecticut,,1980-08-01
jonesch01w,G-F,0,0,69.0,150,Houston,,1982-03-25
jonesja01w,G,0,0,69.0,158,UNC Charlotte,,1978-09-13
jonesla01w,G,0,0,73.0,180,Ohio State,,1977-07-24
jonesme01w,G,0,0,69.0,147,Florida,,1973-07-21
kellycr01w,F,0,0,74.0,190,Western Kentucky,,1986-09-15
kingbsu01w,G,0,0,67.0,135,Stanford,,1981-07-27
kingija01w,G,0,0,68.0,150,,,1976-01-20
klimezu01w,F,0,0,74.0,181,Vanderbilt,,1979-01-21
koehnla01w,G,0,0,68.0,145,Kansas State,,1982-05-13
korstil01w,G,0,0,70.0,160,,,1980-05-30
kostaan01w,G,0,0,67.0,137,,,1978-03-26
kostita01w,F,0,0,73.0,163,Oregon State,,1972-11-10
kraayca01w,F,0,0,76.0,180,Oregon,,1981-09-30
kubikni01w,G,0,0,69.0,145,Nebraska,,1978-03-01
lacyje01w,F,0,0,75.0,175,Pepperdine,,1983-03-21
lacyve01w,C,0,0,76.0,234,Louisiana Tech,,1967-02-09
lambesh01w,G,0,0,67.0,125,Baylor,Grayson County (JC),1980-07-21
lambmo01w,C,0,0,77.0,206,USC,,1964-10-11
langhcr01w,F-C,0,0,74.0,184,Maryland,,1986-10-27
larkier01w,F,0,0,73.0,210,North Carolina,,1986-04-02
lassiam01w,F,0,0,73.0,160,Missouri,,1979-06-09
lattaiv01w,G,0,0,66.0,143,North Carolina,,1984-09-24
lawsoed01w,G,0,0,66.0,130,,,1979-05-14
lawsoka01w,G,0,0,69.0,165,Tennessee,,1981-02-14
lazicka01w,F-C,0,0,70.0,147,,,1980-05-25
lehnish01w,G,0,0,69.0,147,Kansas State,,1986-10-27
lennobe01w,G,0,0,68.0,143,Louisiana Tech,,1976-12-04
leslili01w,C,0,0,77.0,170,USC,,1972-07-07
leuchye01w,C,0,0,77.0,195,West Virginia,,1983-04-30
levanni01w,G,0,0,68.0,163,Xavier,,1979-05-17
lewista01w,F-C,0,0,74.0,212,Louisiana Tech,,1979-07-10
lewisty01w,G,0,0,70.0,152,North Carolina State,,1979-05-08
liebena01w,G,0,0,70.0,150,Old Dominion,,1958-07-01
littlca01w,F,0,0,74.0,180,North Carolina,,1985-01-18
lloydan01w,F,0,0,74.0,175,Texas,,1965-02-09
lobore01w,F,0,0,76.0,190,Connecticut,,1973-10-06
lovelst01w,F,0,0,76.0,170,Purdue,,1974-12-05
luckepa01w,F,0,0,73.0,165,Houston,,1975-05-14
luzhe01w,G,0,0,68.0,144,,,1972-11-23
lyttlsa01w,F,0,0,76.0,175,Houston,,1983-09-20
mabikmw01w,G-F,0,0,71.0,165,,,1976-07-27
macchla01w,F,0,0,73.0,169,,,1979-05-24
machacl01w,C-F,0,0,77.0,180,Old Dominion,,1976-10-04
mahonme01w,F,0,0,72.0,160,Kansas State,,1983-02-13
mahonsh01w,F,0,0,76.0,178,Western Kentucky,,1977-07-03
maigaha01w,G-F,0,0,73.0,160,Old Dominion,,1978-04-25
malcona01w,F,0,0,73.0,170,Providence,,1975-11-27
malloso01w,C,0,0,77.0,210,Georgia Tech,,1981-09-02
maltsev01w,G,0,0,71.0,165,,,1978-12-20
mannish01w,F-C,0,0,75.0,186,North Carolina State,,1969-03-20
mannkr01w,F,0,0,73.0,185,UC Santa Barbara,,1983-08-10
mapprh01w,C,0,0,74.0,190,North Carolina State,,1969-10-13
marcimi01w,G,0,0,70.0,154,Tennessee,,1973-10-29
martima01w,F,0,0,76.0,172,UCLA,,1978-04-17
martinu01w,G,0,0,69.0,167,,,1984-02-29
mascira01w,F,0,0,72.0,169,,,1980-09-30
matteca01w,G,0,0,69.0,167,Ohio State,,1982-08-22
maxwemo01w,F,0,0,69.0,162,Louisiana Tech,,1976-12-21
mazzake01w,G,0,0,72.0,155,Penn State,,1982-02-02
mccaibr01w,G,0,0,63.0,135,Florida,,1979-09-21
mccaiti01w,G-F,0,0,70.0,167,Kentucky,,1976-10-06
mccanra01w,F,0,0,73.0,161,North Carolina,,1986-11-17
mccarja01w,C,0,0,74.0,205,Minnesota,,1982-11-03
mccarst01w,G-F,0,0,69.0,155,Purdue,,1977-06-20
mcconsu01w,G,0,0,65.0,125,Penn State,,1966-07-29
mccouan01w,F,0,0,73.0,160,Louisville,,1986-09-10
mccrani01w,G,0,0,71.0,158,Tennessee,,1971-12-11
mccrini01w,G,0,0,68.0,125,USC,,1972-03-22
mcculda01w,F-C,0,0,75.0,180,Western Kentucky,,1975-01-18
mcgheca01w,F-C,0,0,73.0,179,Tennessee,,1968-03-06
mckivte01w,C-F,0,0,75.0,220,Tulane,,1980-10-05
mcwilta01w,F-C,0,0,74.0,188,St. Edwards,,1970-10-20
melvich01w,C-F,0,0,75.0,185,North Carolina State,,1976-05-03
mendigi01w,G,0,0,71.0,174,Washington,,1982-01-09
miaomi01w,G,0,0,71.0,153,,,1981-06-03
millebr01w,C,0,0,76.0,0,Florida State,,1987-08-10
milleco01w,G,0,0,69.0,140,Georgia,,1978-09-06
milleke01w,G,0,0,70.0,140,Georgia,,1978-09-06
millsta01w,C,0,0,75.0,232,Alabama,,1976-02-29
miltode01w,F,0,0,73.0,185,Florida,,1974-09-11
mitchle01w,G,0,0,65.0,130,Utah,,1985-06-15
moeggli01w,F,0,0,73.0,195,Michigan State,,1984-05-25
moisead01w,G,0,0,66.0,140,,,1978-12-06
montaan01w,F,0,0,73.0,190,George Washington,,1980-10-24
montgre01w,G,0,0,67.0,139,Connecticut,,1986-12-02
mooreja01w,C,0,0,73.0,207,Long Beach State,,1979-11-06
mooreje01w,F-C,0,0,75.0,175,Connecticut,,1982-07-09
moorelo01w,G,0,0,69.0,165,Tennessee,,1983-03-21
moorena01w,G,0,0,70.0,145,Alabama,,1984-11-04
mooreta01w,G-F,0,0,71.0,167,Wisconsin,,1980-04-11
moosca01w,F-C,0,0,78.0,182,Stanford,,1978-05-23
mosbybe01w,F,0,0,73.0,172,Baylor,Florida,1984-02-14
moweje01w,C,0,0,77.0,236,Oregon,,1978-02-25
mulitna01w,C,0,0,75.0,207,Stanford,,1976-03-06
murphsh01w,G,0,0,71.0,164,USC,,1985-04-15
nagyan01w,G,0,0,67.0,147,Florida International,,1971-11-16
nanch01w,C,0,0,78.0,204,,,1983-01-06
ndiayas01w,F-C,0,0,75.0,182,Southern Nazarene,,1973-11-05
ndongem01w,C,0,0,74.0,170,,,1983-04-25
nemcoev01w,F,0,0,74.0,178,,,1972-12-03
nevescl01w,G,0,0,68.0,136,,,1975-02-17
newtoch01w,G,0,0,71.0,154,Rutgers,,1983-02-17
ngarsch01w,C,0,0,75.0,168,Missouri,,1983-06-23
ngoyibe01w,C,0,0,76.0,195,,,1982-08-26
nieuwma01w,C,0,0,77.0,180,Valparaiso,,1980-04-12
nnamach01w,G,0,0,72.0,156,Georgia Tech,,1985-06-15
nolande01w,G-F,0,0,69.0,147,Georgia,,1979-08-25
nygaava01w,F,0,0,73.0,166,Stanford,,1975-03-13
ogayu01w,G,0,0,66.0,140,,,1982-10-17
ohldeni01w,F-C,0,0,77.0,190,Kansas State,,1982-03-13
oneilkr01w,G-F,0,0,73.0,158,Washington,,1983-04-12
osipoir01w,C,0,0,77.0,190,,,1981-06-25
owenhe01w,F,0,0,77.0,212,Stanford,,1976-05-06
owenssh01w,C,0,0,74.0,175,Kentucky,,1978-05-16
pageda01w,F,0,0,74.0,179,Nebraska,,1986-11-14
pagemu01w,F,0,0,74.0,160,Florida,,1975-09-18
paigeyo01w,G,0,0,66.0,147,West Virginia,,1983-09-18
paliesa01w,G,0,0,67.0,159,,,1981-07-23
palmewe01w,F,0,0,74.0,165,Virginia,,1974-08-12
parisco01w,C,0,0,76.0,250,Oklahoma,,1987-09-21
parkeca01w,F,0,0,76.0,175,Tennessee,,1986-04-19
pascafl01w,C,0,0,76.0,187,,,1982-01-19
pavlimi01w,F-C,0,0,75.0,175,Denver,,1977-11-27
payeka01w,G,0,0,68.0,150,Stanford,,1974-03-06
penicti01w,G,0,0,71.0,145,Old Dominion,,1974-09-18
pennjo01w,F,0,0,72.0,160,South Carolina,,1979-09-10
perkiji01w,G,0,0,68.0,155,Texas Tech,,1982-02-23
pettibr01w,G,0,0,69.0,150,Florida,,1971-01-01
philler01w,G,0,0,67.0,162,,,1985-05-19
phillta01w,F-C,0,0,74.0,200,Central Florida,,1969-03-06
pierspl01w,F-C,0,0,74.0,181,Texas Tech,,1981-08-30
pondeca01w,G,0,0,69.0,160,Rutgers,,1983-01-07
potthan01w,F,0,0,73.0,191,Penn State,,1974-06-12
powelel01w,G,0,0,68.0,150,Louisiana State,,1975-08-09
powelni01w,F,0,0,74.0,175,Stanford,,1982-06-22
pricear01w,G-F,0,0,69.0,133,Mississippi,,1985-04-03
pridely01w,F-G,0,0,74.0,180,Kansas,,1978-10-16
pringla01w,F-C,0,0,75.0,162,North Carolina,,1986-09-11
queenbr01w,F,0,0,74.0,185,Boston College,,1984-04-10
quiglal01w,G,0,0,70.0,140,DePaul,,1986-06-20
quinnno01w,G,0,0,72.0,175,UCLA,,1985-01-03
quinnte01w,F,0,0,76.0,165,Seton Hall,,1974-09-07
radunha01w,C,0,0,75.0,187,,,1978-01-10
raglafe01w,G,0,0,67.0,133,Oregon State,,1980-02-03
randase01w,G,0,0,69.0,164,Tennessee,,1979-02-07
rasmukr01w,F,0,0,76.0,174,Michigan State,,1978-11-01
raymost01w,G,0,0,65.0,139,Northern Illinois,,1985-01-15
reddja01w,F,0,0,73.0,164,Washington,,1977-11-05
reedbr01w,F,0,0,73.0,168,Southern Mississippi,,1977-02-17
reidtr01w,F,0,0,71.0,150,North Carolina,,1976-11-01
rileyru01w,C,0,0,77.0,198,Notre Dame,,1979-08-28
rizzoje01w,G,0,0,66.0,146,Connecticut,,1974-05-15
robinas01w,C,0,0,76.0,180,Tennessee,,1982-08-12
robincr01w,F-G,0,0,71.0,155,SE Oklahoma State,,1974-01-22
robinre01w,G,0,0,71.0,166,Virginia,,1978-06-15
rolanja01w,G-F,0,0,73.0,167,Purdue,,1975-02-03
rossad01w,G,0,0,68.0,142,Texas Christian,,1984-11-23
rushle01w,F,0,0,73.0,175,Oklahoma,,1984-10-25
salesny01w,G-F,0,0,72.0,184,Connecticut,,1976-05-10
sampsch01w,G,0,0,71.0,175,Kansas,,1974-09-01
samsh01w,F-G,0,0,72.0,160,Vanderbilt,,1974-05-05
sanchis01w,G,0,0,70.0,152,,,1976-11-28
sandeam01w,G,0,0,71.0,156,Hawai'i,,1983-06-05
sanfona01w,F-C,0,0,76.0,200,Kansas,,1976-05-10
sanniol01w,C,0,0,74.0,0,West Virginia,,1986-08-21
santoal01w,C,0,0,77.0,181,,,1973-12-02
santoke01w,F,0,0,75.0,188,,,1979-11-10
sarenra01w,C,0,0,78.0,222,,,1974-06-27
sauerpa01w,C,0,0,76.0,203,Connecticut,,1977-12-08
saundja01w,F,0,0,71.0,145,Texas A&M,,1979-08-21
saureau01w,G,0,0,70.0,163,,,1976-10-31
schumke01w,C,0,0,77.0,183,Connecticut,,1977-10-14
schwege01w,G-F,0,0,72.0,160,Duke,,1979-01-31
scottol01w,C,0,0,74.0,175,Stanford,,1976-08-05
shakiel01w,F-C,0,0,75.0,190,,,1970-06-02
sharpkb01w,G,0,0,69.0,145,Cincinnati,,1981-04-18
shielas01w,G,0,0,70.0,155,SW Tennessee CC,,1985-07-15
slaisma01w,G,0,0,68.0,173,Cincinnati,,1973-08-23
slauggw01w,F,0,0,75.0,181,Tulane,,1980-07-01
slavtge01w,G,0,0,73.0,160,Florida International,,1979-10-20
smithai01w,F,0,0,74.0,173,Louisiana State,,1980-07-18
smithbr01w,F-C,0,0,75.0,195,Stanford,,1984-04-30
